#    	x	    f(x)	         f'(x)	    f'(x) 	   f''(x)	    f''(x)
#    	 	         	       analytical    finite    analytical    finite
    -4.822	   723.181	  -847.395	  -846.363	   971.610	   971.470
    -4.820	   721.488	  -845.455	  -844.425	   969.421	   969.281
    -4.818	   719.799	  -843.518	  -842.490	   967.237	   967.097
    -4.816	   718.114	  -841.586	  -840.561	   965.058	   964.918
    -4.814	   716.433	  -839.658	  -838.635	   962.883	   962.744
    -4.812	   714.756	  -837.735	  -836.714	   960.714	   960.575
    -4.810	   713.082	  -835.815	  -834.797	   958.549	   958.410
    -4.808	   711.413	  -833.901	  -832.885	   956.389	   956.250
    -4.806	   709.747	  -831.990	  -830.977	   954.234	   954.096
    -4.804	   708.085	  -830.084	  -829.073	   952.083	   951.945
    -4.802	   706.427	  -828.182	  -827.173	   949.938	   949.800
    -4.800	   704.772	  -826.285	  -825.278	   947.797	   947.660
    -4.798	   703.122	  -824.391	  -823.387	   945.661	   945.524
    -4.796	   701.475	  -822.502	  -821.500	   943.529	   943.393
    -4.794	   699.832	  -820.617	  -819.617	   941.403	   941.267
    -4.792	   698.193	  -818.737	  -817.739	   939.281	   939.145
    -4.790	   696.557	  -816.861	  -815.865	   937.164	   937.028
    -4.788	   694.926	  -814.988	  -813.995	   935.051	   934.916
    -4.786	   693.298	  -813.121	  -812.130	   932.944	   932.809
    -4.784	   691.673	  -811.257	  -810.268	   930.841	   930.706
    -4.782	   690.053	  -809.398	  -808.411	   928.742	   928.608
    -4.780	   688.436	  -807.542	  -806.558	   926.648	   926.514
    -4.778	   686.823	  -805.691	  -804.709	   924.560	   924.426
    -4.776	   685.214	  -803.844	  -802.864	   922.475	   922.342
    -4.774	   683.608	  -802.002	  -801.024	   920.395	   920.262
    -4.772	   682.006	  -800.163	  -799.187	   918.320	   918.187
    -4.770	   680.407	  -798.329	  -797.355	   916.250	   916.117
    -4.768	   678.813	  -796.498	  -795.527	   914.184	   914.052
    -4.766	   677.222	  -794.672	  -793.703	   912.123	   911.991
    -4.764	   675.634	  -792.850	  -791.883	   910.066	   909.934
    -4.762	   674.050	  -791.032	  -790.068	   908.014	   907.882
    -4.760	   672.470	  -789.218	  -788.256	   905.966	   905.835
    -4.758	   670.894	  -787.408	  -786.448	   903.923	   903.792
    -4.756	   669.321	  -785.603	  -784.645	   901.885	   901.754
    -4.754	   667.752	  -783.801	  -782.845	   899.851	   899.721
    -4.752	   666.186	  -782.004	  -781.050	   897.821	   897.692
    -4.750	   664.624	  -780.210	  -779.259	   895.797	   895.667
    -4.748	   663.065	  -778.421	  -777.471	   893.776	   893.647
    -4.746	   661.510	  -776.635	  -775.688	   891.760	   891.631
    -4.744	   659.959	  -774.854	  -773.909	   889.749	   889.620
    -4.742	   658.411	  -773.077	  -772.134	   887.742	   887.614
    -4.740	   656.867	  -771.303	  -770.362	   885.740	   885.611
    -4.738	   655.326	  -769.534	  -768.595	   883.742	   883.614
    -4.736	   653.789	  -767.768	  -766.832	   881.748	   881.621
    -4.734	   652.255	  -766.007	  -765.073	   879.759	   879.632
    -4.732	   650.725	  -764.250	  -763.317	   877.774	   877.647
    -4.730	   649.198	  -762.496	  -761.566	   875.794	   875.667
    -4.728	   647.675	  -760.747	  -759.819	   873.818	   873.692
    -4.726	   646.156	  -759.001	  -758.075	   871.847	   871.721
    -4.724	   644.640	  -757.260	  -756.336	   869.880	   869.754
    -4.722	   643.127	  -755.522	  -754.600	   867.917	   867.792
    -4.720	   641.618	  -753.788	  -752.868	   865.959	   865.833
    -4.718	   640.112	  -752.058	  -751.141	   864.005	   863.880
    -4.716	   638.610	  -750.332	  -749.417	   862.055	   861.931
    -4.714	   637.111	  -748.610	  -747.697	   860.110	   859.986
    -4.712	   635.615	  -746.892	  -745.981	   858.169	   858.045
    -4.710	   634.123	  -745.178	  -744.268	   856.232	   856.109
    -4.708	   632.635	  -743.468	  -742.560	   854.300	   854.177
    -4.706	   631.150	  -741.761	  -740.856	   852.372	   852.249
    -4.704	   629.668	  -740.058	  -739.155	   850.449	   850.326
    -4.702	   628.190	  -738.359	  -737.458	   848.529	   848.406
    -4.700	   626.715	  -736.664	  -735.765	   846.614	   846.492
    -4.698	   625.243	  -734.973	  -734.076	   844.703	   844.581
    -4.696	   623.775	  -733.286	  -732.391	   842.797	   842.675
    -4.694	   622.310	  -731.602	  -730.709	   840.894	   840.773
    -4.692	   620.849	  -729.923	  -729.031	   838.996	   838.875
    -4.690	   619.391	  -728.247	  -727.357	   837.102	   836.981
    -4.688	   617.936	  -726.574	  -725.687	   835.213	   835.092
    -4.686	   616.485	  -724.906	  -724.021	   833.327	   833.207
    -4.684	   615.037	  -723.241	  -722.358	   831.446	   831.326
    -4.682	   613.592	  -721.580	  -720.699	   829.569	   829.449
    -4.680	   612.151	  -719.923	  -719.044	   827.696	   827.576
    -4.678	   610.713	  -718.270	  -717.393	   825.827	   825.708
    -4.676	   609.278	  -716.620	  -715.745	   823.963	   823.843
    -4.674	   607.846	  -714.974	  -714.101	   822.102	   821.983
    -4.672	   606.418	  -713.332	  -712.461	   820.246	   820.127
    -4.670	   604.993	  -711.694	  -710.824	   818.394	   818.275
    -4.668	   603.572	  -710.059	  -709.191	   816.546	   816.428
    -4.666	   602.153	  -708.428	  -707.562	   814.702	   814.584
    -4.664	   600.738	  -706.800	  -705.937	   812.862	   812.745
    -4.662	   599.326	  -705.176	  -704.315	   811.026	   810.909
    -4.660	   597.918	  -703.556	  -702.697	   809.195	   809.078
    -4.658	   596.512	  -701.940	  -701.082	   807.367	   807.251
    -4.656	   595.110	  -700.327	  -699.471	   805.544	   805.427
    -4.654	   593.711	  -698.718	  -697.864	   803.725	   803.608
    -4.652	   592.315	  -697.112	  -696.261	   801.909	   801.793
    -4.650	   590.923	  -695.510	  -694.661	   800.098	   799.982
    -4.648	   589.534	  -693.912	  -693.064	   798.291	   798.175
    -4.646	   588.147	  -692.318	  -691.472	   796.488	   796.372
    -4.644	   586.764	  -690.726	  -689.882	   794.688	   794.574
    -4.642	   585.385	  -689.139	  -688.297	   792.893	   792.779
    -4.640	   584.008	  -687.555	  -686.715	   791.102	   790.988
    -4.638	   582.635	  -685.975	  -685.136	   789.315	   789.201
    -4.636	   581.264	  -684.398	  -683.562	   787.532	   787.418
    -4.634	   579.897	  -682.825	  -681.990	   785.753	   785.639
    -4.632	   578.533	  -681.255	  -680.423	   783.977	   783.864
    -4.630	   577.172	  -679.689	  -678.858	   782.206	   782.093
    -4.628	   575.815	  -678.127	  -677.298	   780.439	   780.326
    -4.626	   574.460	  -676.568	  -675.741	   778.675	   778.563
    -4.624	   573.109	  -675.012	  -674.187	   776.916	   776.803
    -4.622	   571.760	  -673.460	  -672.637	   775.160	   775.048
    -4.620	   570.415	  -671.912	  -671.090	   773.409	   773.297
    -4.618	   569.073	  -670.367	  -669.547	   771.661	   771.549
    -4.616	   567.734	  -668.825	  -668.008	   769.917	   769.806
    -4.614	   566.398	  -667.287	  -666.471	   768.177	   768.066
    -4.612	   565.065	  -665.753	  -664.939	   766.441	   766.330
    -4.610	   563.735	  -664.222	  -663.410	   764.709	   764.598
    -4.608	   562.408	  -662.694	  -661.884	   762.980	   762.870
    -4.606	   561.084	  -661.170	  -660.362	   761.256	   761.146
    -4.604	   559.764	  -659.649	  -658.843	   759.535	   759.426
    -4.602	   558.446	  -658.132	  -657.327	   757.819	   757.709
    -4.600	   557.131	  -656.618	  -655.815	   756.106	   755.996
    -4.598	   555.820	  -655.108	  -654.307	   754.396	   754.287
    -4.596	   554.511	  -653.601	  -652.802	   752.691	   752.582
    -4.594	   553.205	  -652.097	  -651.300	   750.990	   750.881
    -4.592	   551.903	  -650.597	  -649.802	   749.292	   749.183
    -4.590	   550.603	  -649.101	  -648.307	   747.598	   747.490
    -4.588	   549.307	  -647.607	  -646.815	   745.908	   745.800
    -4.586	   548.013	  -646.117	  -645.327	   744.221	   744.114
    -4.584	   546.722	  -644.630	  -643.842	   742.539	   742.431
    -4.582	   545.435	  -643.147	  -642.360	   740.860	   740.753
    -4.580	   544.150	  -641.667	  -640.882	   739.185	   739.078
    -4.578	   542.868	  -640.191	  -639.407	   737.513	   737.406
    -4.576	   541.589	  -638.717	  -637.936	   735.845	   735.739
    -4.574	   540.313	  -637.247	  -636.468	   734.182	   734.075
    -4.572	   539.040	  -635.781	  -635.003	   732.521	   732.415
    -4.570	   537.770	  -634.318	  -633.541	   730.865	   730.759
    -4.568	   536.503	  -632.858	  -632.083	   729.212	   729.106
    -4.566	   535.239	  -631.401	  -630.628	   727.563	   727.457
    -4.564	   533.978	  -629.948	  -629.177	   725.917	   725.812
    -4.562	   532.720	  -628.497	  -627.728	   724.275	   724.171
    -4.560	   531.464	  -627.051	  -626.283	   722.637	   722.533
    -4.558	   530.212	  -625.607	  -624.841	   721.003	   720.898
    -4.556	   528.962	  -624.167	  -623.403	   719.372	   719.268
    -4.554	   527.715	  -622.730	  -621.968	   717.745	   717.641
    -4.552	   526.471	  -621.296	  -620.536	   716.121	   716.017
    -4.550	   525.230	  -619.866	  -619.107	   714.501	   714.398
    -4.548	   523.992	  -618.438	  -617.681	   712.885	   712.782
    -4.546	   522.757	  -617.014	  -616.259	   711.272	   711.169
    -4.544	   521.524	  -615.593	  -614.840	   709.663	   709.560
    -4.542	   520.294	  -614.176	  -613.424	   708.057	   707.955
    -4.540	   519.067	  -612.761	  -612.011	   706.455	   706.353
    -4.538	   517.843	  -611.350	  -610.602	   704.857	   704.755
    -4.536	   516.622	  -609.942	  -609.195	   703.262	   703.160
    -4.534	   515.404	  -608.537	  -607.792	   701.671	   701.569
    -4.532	   514.188	  -607.136	  -606.392	   700.083	   699.982
    -4.530	   512.975	  -605.737	  -604.995	   698.499	   698.398
    -4.528	   511.765	  -604.342	  -603.602	   696.918	   696.818
    -4.526	   510.558	  -602.950	  -602.211	   695.341	   695.241
